Fandom,Type,Total Works,Excluding Crossovers,Total Fix-It Fics,Fix-It Fics without Crossovers
Captain America (Comics),Cartoons *a* Comics *a* Graphic Novels,2572,2262,87,77
Glee,TV Shows,34558,32104,181,165
KAT-TUN (Band),Music *a* Bands,1790,1618,0,0
DRAMAtical Murder - All Media Types,Anime *a* Manga,3648,3507,14,14
CSI: Miami,TV Shows,1312,824,11,6
Fullmetal Alchemist: Brotherhood & Manga,Cartoons *a* Comics *a* Graphic Novels,7463,6935,43,36
RuPaul's Drag Race RPF,Celebrities *a* Real People,2593,2511,2,2
Neon Genesis Evangelion,Anime *a* Manga,1708,1450,13,11
魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,Books *a* Literature,12485,9100,320,194
Tsubasa: Reservoir Chronicle,Anime *a* Manga,2052,1901,6,4
Red Dwarf (UK TV),TV Shows,1414,1278,4,4
Star Wars Prequel Trilogy,Cartoons *a* Comics *a* Graphic Novels,11591,10992,465,453
Falsettos - Lapine/Finn,Theater,1201,1038,15,13
Transformers: Prime,Movies,5603,5348,42,40
Motorsport RPF,Celebrities *a* Real People,6419,6197,1,1
Tokio Hotel,Music *a* Bands,1223,1115,0,0
BBC Radio 1 RPF,Other Media,1860,71,2,0
Arthurian Mythology & Related Fandoms,Books *a* Literature,38372,35031,450,396
Metalocalypse (Cartoon),Cartoons *a* Comics *a* Graphic Novels,1389,1341,0,0
The Flash (Comics),Cartoons *a* Comics *a* Graphic Novels,1238,1158,21,21
Black Panther (2018),Movies,3729,3372,115,105
The Avengers - Ambiguous Fandom,TV Shows,168881,139914,5110,4407
Johnny's Entertainment,Music *a* Bands,15234,14450,0,0
Overwatch (Video Game),Video Games,33327,32266,41,36
Star Wars - All Media Types,Movies,102961,97365,2656,2582
Watchmen - All Media Types,Cartoons *a* Comics *a* Graphic Novels,1382,1238,27,27
Outlander (TV),TV Shows,1597,1497,0,0
Magi: The Labyrinth of Magic,Anime *a* Manga,2273,2073,15,12
ヒプノシスマイク | Hypnosis Mic (Albums),Music *a* Bands,2499,2451,5,3
Abrahamic Religions,Books *a* Literature,1264,666,8,1
Fantastic Beasts and Where to Find Them (Movies),Movies,11774,11247,195,186
The Mandalorian (TV),TV Shows,1078,1045,6,6
Durarara!!,Video Games,4601,4287,18,15
Fire Emblem: If | Fire Emblem: Fates,Video Games,7647,7366,20,20
弱虫ペダル | Yowamushi Pedal,Anime *a* Manga,3058,2907,10,10
Hawaii Five-0 (2010),TV Shows,15422,14303,84,80
AUSTEN Jane - Works,Books *a* Literature,1983,1351,22,5
Rooster Teeth/Achievement Hunter RPF,Celebrities *a* Real People,16633,15969,5,2
Hawkeye (Comics),Cartoons *a* Comics *a* Graphic Novels,3364,3172,46,45
Tales of Vesperia,Video Games,1127,1070,1,1
The Legend of Zelda & Related Fandoms,Video Games,10528,9373,40,34
Fairy Tail,Anime *a* Manga,11884,11049,24,18
GOT7,Music *a* Bands,11757,11438,1,1
Star Wars - All Media Types,Cartoons *a* Comics *a* Graphic Novels,102962,97366,2656,2582
Legacies (TV 2018),TV Shows,1713,1622,23,18
Far Cry (Video Games),Video Games,3167,3102,29,28
Actor RPF,Celebrities *a* Real People,69994,52182,90,19
Grand Theft Auto V,Other Media,1123,957,3,2
Chastity (1969),Uncategorized Fandoms,0,0,0,0
DBSK | Tohoshinki | TVfXQ | TVXQ,Music *a* Bands,4008,3823,2,1
Dragon Age: Origins,Video Games,10955,10673,41,39
